Дата создания;Текст;Блок;Объект;Тема сообщения;Параметр сообщения;Аспект сообщения;Локация (район);Населенный пункт (город или поселок, не СПб, например, Пушкин, Колпино, Парголово);Название улицы (проспекта, переулка);Тип улицы;Номер дома (без пробелов, вид: 12 или 1к4 или 8стр1 или 11/2 или 23литБ);Адрес объекта - Не править!;Объект в сообщении;ИОГВ;Улицы объекта - Не править!
23.2.22;Здравствуйте уважаемый Александр Дмитриевич ! <br>Зима ещё не ушла а проблемы осталось ! <br>❄Просим от жителей и пожилых людей уброть от льда и песком обработать ул Авангардная д23 внутриквартальный проездо с двух сторон ул Авангардная д23 д 14 в ближайшие недели февраль март <br>Спасибо Подрядчику убирают нормально фото где нужно убрать . спасибо 💢;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;Авангардная;ул;;Авангардная ул;;ар;Авангардная ул
23.2.22;Так,а что с уборкой снега по адресу: Петергофское шоссе дом 15 к 2? Два раза уже отписки писали. Последнее обещание было на 18.02.22. И где выполненная Вами работа? Сколько жалоб надо еще написать,чтоб вы начали работать? Уволить вас всех надо!;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;Петергофское;ш;;Петергофское ш;;ар;Петергофское ш
23.2.22;А дворы в Петербурге все также не убирают, мусор вывозят по жалобе с задержками, кругом грязь!;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Кировский район;;;;;;;АР;
23.2.22;Рижский проспект 62 все газоны завалены снегом и с 01.12.2021 года его ни разу не вывозили.<br>УК Стилес😡;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Адмиралтейский район;;Рижский;пр-т;62;Рижский пр-т 62;;КБ;Рижский пр-т
23.2.22;Добрый вечер! Ну вот прошла ещё одна неделя и снег не убран (((второе обещание от ЖКС 3 ,убрать до конца предыдущей недели, не сработало ((((((((<br>30 января !!!!!!!!!!отправляла заявку ,но большому сожалению, так нечего и не убрано !!!!;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Московский район;;;;;;ЖКС 3;КБ;
23.2.22;[id437734987|Наталья], какая работа ведётся?????<br>У нас во дворе снег счистили вместе асфальтом…. Это можно увидеть своими глазами, особенно, когда весной снег стает… само не рассосётся….;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;Ленинский;пр-т;53;Ленинский пр-т 53;;АР;Ленинский пр-т
23.2.22;Даже штрафы есть, а эффекта не видно. Очень хочется увидеть итоговый отчёт после зимы, какие выводы сделаны, какие меры будут приняты, ну и ответственность за невыполнение.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;;;;;;;;КБ;
23.2.22;Бульвар-Новаторов дома 26/2 и 24/2 не убирают территорию,ни пешком,ни на машине проехать не возможно. Машину ремонтирую дважды за зиму,ребенок ходить нормально не может,падает. Как прекратить этот беспредел;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Кировский район;;Новаторов;б-р;26к2;Новаторов б-р 26к2;;ар;Новаторов б-р
23.2.22;Страшно ездить во дворе. Ещё пару дней и можно будет только на автомобиле с гусеничным движителем заехать. Реакция конечно на обращения есть, но почему нельзя это делать не после обращения, а в качестве обычной ежедневной работы, путём расстановки приоритетов, чтобы не писали люди что всё плохо. В суд подавать когда случайно из-за того, что творится во дворах, задену чей-нибудь автомобиль. Делайте для граждан, вы для этого и есть, а не граждане для вас.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Пушкинский район;;Колпинское;ш;28к1;Колпинское ш 28к1;;ар;Колпинское ш
23.2.22;В этом году ни разу не проводилась Уборка территории вокруг дома. Вся Уборка (фото прилагаю) производится силами жильцов, как и обработка ото льда. Прошу 1. разобраться какая организация не проводит вообще никаких работ и когда они начнут регулярно проводиться 2. Я не получил на своё ответное обращение связанное с необходимостью обратиться в прокуратуру с заявлением на организацию, которая прислала фото, по моему ранее оставленному заявлению на эту же тему, с отчётом об уборке совершенно от другого адреса и тем самым фальсифицировала результаты своей деятельности и возможно получила за это деньги;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красногвардейский район;;6-я Жерновская;ул;9к1;6-я Жерновская ул 9к1;;ар;6-я Жерновская ул
23.2.22;Не числятся проезды вдоль дома, нет посылки. За всю зиму один раз трактор проехал после нового года и все. Не посыпались ни разу. Это же невыносимо уже! Что происходит?;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;Красное Село;;;;Красное Село;;КБ;Красное Село
23.2.22;Здравствуйте, дороги скользкие, невозможно дойти до помойки, скользко, сколько это может продолжаться?;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;Ольминского;ул;;Ольминского ул;;ар;Ольминского ул
23.2.22;Не убраны снег и лёд между двумя зданиями паркинга по адресу Школьная 73, к.2 В ответ на обращение 174911658 сообщаю, что работ по уборке снега и льда не было.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Приморский район;;Школьная;ул;;Школьная ул;;ар;Школьная ул
23.2.22;Колея, что кроссоверы брюхом задевают.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Кировский район;;Ветеранов;пр-т;114;Ветеранов пр-т 114;;ар;Ветеранов пр-т
23.2.22;Добрый день! Очень давно не убирали наледь и снег на дороге, во дворе пр.Непокоренных 74, со стороны пр. Непокорённых. Образовался лед и колея, становится практически невозможно проехать и припарковаться. Днище машины буквально шкрябает по ледяным наростам. Неоднократно машины застревали. Примите, пожалуйста, меры. Спасибо.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Калининский район;;Непокоренных;пр-т;74;Непокоренных пр-т 74;;ар;Непокоренных пр-т
23.2.22;НЕ УБИРАЮТ СНЕГ ВО ДВОРАХ ,УЛИЦА ИВАНОВСКАЯ 36,пройти не возможно .весь снег свалили в одни кучи и теперь эти кучи тают и во дворах все плавает.Почему так сложно сделать все нормально .Приходит жэк и для вида делает фотоотчет какой то маленькой террритории,а то что весь двор не убран -это он на фото не покажет .за что мы платим деньги ?за такую уборку?;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Колпинский район;;Ивановская;ул;36;Ивановская ул 36;;ар;Ивановская ул
23.2.22;Не очищена парковка, образовалось колея в которой заостряют автомобили, вечером сильно шумят, как и днём.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Кировский район;;Маршала Жукова;пр-т;;Маршала Жукова пр-т;;ар;Маршала Жукова пр-т
23.2.22;Снег не убран у школы 34. Не пройти не проехать;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;Шотмана;ул;12к3;Шотмана ул 12к3;;ар;Шотмана ул
23.2.22;Не убирается снег на придомовой территории по адресу Шотмана д4;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;Шотмана;ул;4;Шотмана ул 4;;ар;Шотмана ул
23.2.22;Здравствуйте! Не убирается внутридворовая проезжая территория на улице Гаккелевская д.27/2. Прошу решить эту проблему. Спасибо.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Приморский район;;Гаккелевская;ул;27к2;Гаккелевская ул 27к2;;ар;Гаккелевская ул
23.2.22;Просто не проехать! О разъезде двух автомобилей и речи нет!;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;Добровольцев;ул;18;Добровольцев ул 18;;ар;Добровольцев ул
23.2.22;Проезд перед домом не убирали за зиму ни разу!!!! Толщина льда на поверхности больше 30 см. Образовалась колея в которой застревают машины. Моя мама подскользнулась там и сломала руку. Ужасная ситуация. Срочно примите меры!;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;Гвардейская;ул;8к2;Гвардейская ул 8к2;;ар;Гвардейская ул
23.2.22;Добрый день. Отчитались о проблеме,и фото приложили, только трактор к нам ни разу не приехал,и колии льда гигантские,машинам не припарковать! Может хоть раз почистят хорошо? Отобьют лед,вычистят дорогу. Можно и без фото,люди и так все видят!;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Красносельский район;;Добровольцев;ул;26;Добровольцев ул 26;;ар;Добровольцев ул
23.2.22;Дворы просто жуть не убраны на машине проехать не возможно, с коляской просто кашмар, всё это ещё обледенело, снаружи дома почищено а двор это просто жесть;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Московский район;;Взлетная;ул;13;Взлетная ул 13;;ар;Взлетная ул
23.2.22;Слишком высокая колейность на дороге. Если у тебя не полноприводный внедорожник, то припарковать машину без мучений не возможно . Дном машины скребешь лёд, колёса застревают в колее. Прошу с преминением спец техники снять лёд с проезжей части;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Невский район;;Искровский;пр-т;;Искровский пр-т;;ар;Искровский пр-т
23.2.22;Не убирается снег. На проезде образовалась огромная колея. Примерно 15-20 см. Создаёт трудности при парковке и иногда является причиной повреждений автомобиля.;Дороги;Снег, наледь;Дворы: не проводится уборка снега;Дворовые территории;Отсутствие уборки;Фрунзенский район;;Южное;ш;;Южное ш;;ар;Южное ш
23.2.22;Разбитая дорога по адресу: Энергетиков дом 40/4;Дороги;Дорожное покрытие;Дворы: неудовлетворительное состояние дорожного покрытия;Дворы;Нарушение целостности;Красногвардейский район;;Энергетиков;пр-т;;Энергетиков пр-т;;АР;Энергетиков пр-т
23.2.22;Весь проезд от Будапештской до Турку заполнен ямами. Они тут на любой вкус - от больших до огромных.;Дороги;Дорожное покрытие;Дворы: неудовлетворительное состояние дорожного покрытия;Дворы;Нарушение целостности;Фрунзенский район;;;;;;;ар;
23.2.22;Дефекты покрытия. Огромные ямы;Дороги;Дорожное покрытие;Дворы: неудовлетворительное состояние дорожного покрытия;Дворы;Нарушение целостности;Пушкинский район;;Ломоносова;ул;;Ломоносова ул;;АР;Ломоносова ул
23.2.22;Добрый день . Не хотела жаловаться , но похоже придётся .<br>Скорым не заехать , машину не припарковать , скользко .<br>Рыбацкий проспект 15 ,к1;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Рыбацкий;пр-т;15к1;Рыбацкий пр-т 15к1;Придомовая территория;АР;Рыбацкий пр-т
23.2.22;Добрый день, меня зовут Наталья, я живу на ул. Седова д. 73.В о дворе нашего дома сплошной лёд. Наледь, колея глубокая. Не одной машине не выехать, каждую толкают. Дворников нет, хоть бы посыпали песком или солью. Когда этот бардак закончился? За что мы платим деньги??;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Седова;ул;73;Седова ул 73;Придомовая территория;АР;Седова ул
23.2.22;Почему не посыпано песком?????????в Павловске где поликлиника каток когда нормальная уборка будет????????;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Пушкинский район;;;;;;;ар;
23.2.22;Уважаемый губернатор! Приглашаем вас на экскурсию в Приморский район по адресу ул. Планерная д.67 (к.2,3,4- один дом)! И вы увидите, как убираются дворовые проезды, точнее не убираются! Кругов либо глыбы льда, либо море! Обращались в 004, комитет по благоустройству, заявки принимаются, но рисультата ноль. На фото не такая эпичная картина конечно...;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Приморский район;;Планерная;ул;67;Планерная ул 67;;КБ;Планерная ул
23.2.22;Это уборка на Луначарского 42 корп 2 тоже на Пр Энгельса 130к1, Луначарского 40 и 38 сплошной каток. В этом году не хотят муниципалы чистить город и дворы. Прошлое управление Выборгского района чистила и детские площадки. А теперь все утопает то во льду то в снег засыпано. С детьми негде гулять. Отвратительная работа!!!!!!;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Выборгский район;;Луначарского;пр-т;40;Луначарского пр-т 40;;АР;Луначарского пр-т
23.2.22;Доброй ночи ! Хотим оставить вам жалобу на полное бездействие коммунальных служб ! Заявки на 004 принимают и на этом все ! За целую зиму был трактор во дворе 3 раза ! Регулярно оставляем жалобы , но воз и ныне там .Итог неубранного снега , далее растаявшего -это голый лед ! Лично я упала за день 2 раза уже ! Это дворовая территория Светлановский проспект 47 и школа китайская гимназия 652! Где не убираются вообще никогда ! Вы лично можете приехать и посмотреть состояние данных улиц ! Очень просим принять меры !;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Выборгский район;;Светлановский;пр-т;47;Светлановский пр-т 47;;АР;Светлановский пр-т
23.2.22;Здравствуйте. Прошу разобраться почему во дворе с начала зимы не ездит трактор и не убирает снег? Образовалась такая колеия, что машина скребет днишем по льду и нет возможности припарковаться нормально.;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Красносельский район;;Котина;ул;6к1;Котина ул 6к1;;ар;Котина ул
23.2.22;Во дворе дома по улице Стахановцев гололед;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Красногвардейский район;;Стахановцев;ул;;Стахановцев ул;;ар;Стахановцев ул
23.2.22;За зиму ни разу не производилась очистка внутриквартального проезда по адресу ул Народная д2 . На дорожном покрытии образовалась наледь высотой достигающей 10 см и более с колеей и провалами, по сути это чистый лед , каток с ямами по которому не возможно перемещаться как пешеходам , так и автомобилям . Мои родители -пенсионеры, моя бабушка -ветеран Великой Отечественной войны , не могут безопасно выйти из собственного дома и сходить даже в магазин за продуктами! Прошу немедленно произвести очистку данного проезда от наледи и снега !;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Народная;ул;2;Народная ул 2;;ар;Народная ул
23.2.22;Во дворах Чудновского 2/11 и Кржижановского 13 и 15 не убраны дороги от снега и льда, один сплошной каток. Дороги ни чем не посыпаны. Машины буксуют из-за отсутствия уборки во дворах. Просьба очистить дороги от снега и льда во дворах.;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Чудновского;ул;11.фев;Чудновского ул 2/11;;ар;Чудновского ул
23.2.22;Во дворе Чудновского 2/11 и Кржижановского д. 13 и д. 15 не убраны дворовые дороги и ни чем не посыпаны, один сплошной каток, от остановки до дома не возможно пройти. Просьба очистить от наледи дороги во дворах.;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Чудновского;ул;11.фев;Чудновского ул 2/11;;ар;Чудновского ул
23.2.22;Управляющая компания бездействует тротуары все во льду гололёд;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Приморский район;;;;;;;ар;
23.2.22;Во дворе по адресу Красное Село ул Гвардейская 8 к2 невозможно ходить!Люди ломают руки и ноги!Машинам тоже проехать без повреждений не удаётся!Такой беспредел твориться на протяжении всей зимы!Примите пожалуйста меры!;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Красносельский район;;Гвардейская;ул;8к1;Гвардейская ул 8к1;;ар;Гвардейская ул
23.2.22;Ледяные дороги... Подскользнулась, упала и потянула руку!!!;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Красносельский район;;Юных Пионеров;ул;;Юных Пионеров ул;;ар;Юных Пионеров ул
23.2.22;Необходимо с помощью спец техники очистить проезжую часть. Машину не могут нормально проехать, про людей вообще молчу, там просто нет для них безопасной дороги;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Искровский;пр-т;;Искровский пр-т;;ар;Искровский пр-т
23.2.22;Наледь. Нед посылки ПГМ.;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Красносельский район;;Авангардная;ул;;Авангардная ул;;ар;Авангардная ул
23.2.22;Огромная ледяная колея. Машина цепляет днищем. Идти пешком тоже невозможно из за льда.;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Пушкинский район;;Пушкинская;ул;50;Пушкинская ул 50;;ар;Пушкинская ул
23.2.22;Гололед у дома по российский пр. Д.14 Не подойти ни к аптеке, ни к магазинам. Вдоль дома можно пройти только держась за стену дома. Пешеходные дорожки сплошной лед.;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Российский;пр-т;14;Российский пр-т 14;;ар;Российский пр-т
23.2.22;Не чистится проезд между домами 9 и 13 по ул.Чудновского, вот уже 8 дней. Не пройти, и не проехать.;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Чудновского;ул;9;Чудновского ул 9;;ар;Чудновского ул
23.2.22;Не чистят снег, гололед вокруг дома 13 по ул. Чудновского. Пешеходы падают, как кегли.;Дороги;Снег, наледь;Дворы: образование наледи;Дворовые территории;Наледь, необходим скол;Невский район;;Чудновского;ул;13;Чудновского ул 13;;ар;Чудновского ул
23.2.22;И там же гигантская яма - с ней тоже никто ничего не длелает: https://vk.com/wall-157028191_43820?reply=43922&thread=43920;Дороги;Дорожное покрытие;Дефекты дорожного полотна (ямы, колейность и т.д);Дороги;Нарушение целостности;Приморский район;;Щербакова;ул;7;Щербакова ул 7;Дорога;АР;Щербакова ул
23.2.22;Ситцевая улица;Дороги;Дорожное покрытие;Дефекты дорожного полотна (ямы, колейность и т.д);Дороги;Нарушение целостности;Приморский район;;Ситцевая;ул;;Ситцевая ул;Дорога;АР;Ситцевая ул
23.2.22;Добрый день. На ул. Софийской в Озкрках Выборгского р-на СПб две громадные ямы в асфальте. Машины ломают колеса. Также там не работает сток талой воды, сама улица не чищена. Движение по улице одностороннее, альтернативы проезда нет. Примите срочно меры по приведению улицы в надлежащее состояние!!! Ликвидируйте ямы на проезжей части!!!;Дороги;Дорожное покрытие;Дефекты дорожного полотна (ямы, колейность и т.д);Дороги;Нарушение целостности;Выборгский район;;Софийская;ул;;Софийская ул;;кб;Софийская ул
23.2.22;Добрый вечер! По улице архитектора Белова отсутствует возможность проехать к жилым домам по причине огромных ям. Проблема сохраняется уже не первый год. На текущий момент там постоянно застревают машины жильцов (это единственный проезд и у меня, например, отсутствует возможность отвезти ребёнка к врачу тк просто не выехать). Более того даже вызвать скорую помощь является проблемой: вместо оказания помощи долгое время машины пытаются вытолкать из ям). А счёт часто идёт на минуты. Прошу помочь в решении данного вопроса оперативно, потому что ожидать конкретной даты для кого-то может стать критичным. Проезд к дому всего один. За последние несколько дней только я видела, что скорую выталкивали дважды. Одно видео прилагаю. Спасибо за понимание...;Дороги;Дорожное покрытие;Дефекты дорожного полотна (ямы, колейность и т.д);Дороги;Нарушение целостности;Выборгский район;;архитектора Белова;;;архитектора Белова;;;архитектора Белова
23.2.22;Здравствуйте! Автобусная станция Ручьи! Автобусы застривают на вьезде и на выезде со станции!!! Большие глубокие ямы!!! Скоро будет не вьехать и не выехать вовсе.;Дороги;Дорожное покрытие;Дефекты дорожного полотна (ямы, колейность и т.д);Дороги;Нарушение целостности;;;;;;;;;
